City,2019estimate,2016 population density,lantitude,longitude
Shreveport,187112,1820.0,32.4669,93.7922
Worcester,185428,4933.0,42.2695,71.8078
Ontario,185010,3471.0,34.0394,117.6042
Vancouver,184463,3728.0,45.6349,122.5957
Sioux Falls,183793,2312.0,43.5383,96.732
Chattanooga,182799,1241.0,35.066,85.2484
Brownsville,182781,1387.0,25.9991,97.455
Fort Lauderdale,182437,5166.0,26.1412,80.1467
Providence,179883,9740.0,41.8231,71.4188
Newport News,179225,2631.0,37.0762,76.522
Rancho Cucamonga,177603,4413.0,34.1233,117.5642
Santa Rosa,176753,4241.0,38.4468,122.7061
Peoria,175961,934.0,33.7862,112.308
Oceanside,175742,4249.0,33.2245,117.3062
Elk Grove,174775,4022.0,38.4146,121.385
Salem,174365,3445.0,44.9237,123.0232
Pembroke Pines,173591,5109.0,26.021,80.3404
Eugene,172622,3777.0,44.0567,123.1162
Garden Grove,171644,9714.0,33.7788,117.9605
Cary,170282,2873.0,35.7809,78.8133
Fort Collins,170243,2943.0,40.5482,105.0648
Corona,169868,4222.0,33.862,117.5655
Springfield,167882,2033.0,37.1942,93.2913
Jackson,160628,1524.0,32.3158,90.2128
Alexandria,159428,10387.0,38.8201,77.0841
Hayward,159203,3493.0,37.6287,122.1024
Clarksville,158146,1529.0,36.5664,87.3452
Lakewood,157935,3599.0,39.6989,105.1176
Lancaster,157601,1698.0,34.6936,118.1753
Salinas,155465,6662.0,36.6902,121.6337
Palmdale,155079,1484.0,34.591,118.1054
Hollywood,154817,5568.0,26.031,80.1646
Springfield,153606,4830.0,42.1155,72.54
Macon,153159,612.0,32.8088,83.6942
Kansas City,152960,1216.0,39.1225,94.7418
Sunnyvale,152703,6944.0,37.3858,122.0263
Pomona,151691,6630.0,34.0585,117.7611
Killeen,151666,2680.0,31.0777,97.732
Escondido,151625,4087.0,33.1331,117.074
Pasadena,151227,3525.0,29.6586,95.1506
Naperville,148449,3802.0,41.7492,88.162
Bellevue,148164,4221.0,47.5979,122.1565
Joliet,147344,2302.0,41.5177,88.1488
Murfreesboro,146900,2360.0,35.8522,86.416
Midland,146038,1809.0,32.0246,102.1135
Rockford,145609,2325.0,42.2588,89.0646
Paterson,145233,17500.0,40.9148,74.1628
Savannah,144464,1417.0,32.0025,81.1536
Bridgeport,144399,9064.0,41.1874,73.1958
Torrance,143592,7180.0,33.835,118.3414
McAllen,143268,2435.0,26.2322,98.2464
Syracuse,142327,5735.0,43.041,76.1436
Surprise,141664,1230.0,33.6706,112.4527
Denton,141541,1433.0,33.2166,97.1414
Roseville,141500,3085.0,38.769,121.3189
Thornton,141464,3829.0,39.9194,104.9428
Miramar,141191,4709.0,25.977,80.3358
Pasadena,141029,6176.0,34.1606,118.1396
Mesquite,140937,3045.0,32.7629,96.5888
Olathe,140545,2225.0,38.8843,94.8195
Dayton,140407,2522.0,39.7774,84.1996
Carrollton,139248,3674.0,32.9884,96.8998
Waco,139236,1510.0,31.5601,97.186
Orange,138669,5532.0,33.787,117.8613
Fullerton,138632,6282.0,33.8857,117.928
Charleston,137566,1233.0,32.8179,79.959
West Valley City,135248,3847.0,40.6885,112.0118
Visalia,134605,3495.0,36.3273,119.3289
Hampton,134510,2629.0,37.048,76.2971
Gainesville,133997,2112.0,29.6788,82.3461
Warren,133943,3928.0,42.4929,83.025
Coral Springs,133759,5465.0,26.2707,80.2593
Cedar Rapids,133562,1852.0,41.967,91.6778
Round Rock,133372,3396.0,30.5252,97.666
Sterling Heights,132438,3628.0,42.5812,83.0303
Kent,132319,3784.0,47.388,122.2127
Columbia,131674,1006.0,34.0291,80.898
Santa Clara,130365,6845.0,37.3646,121.9679
New Haven,130250,6948.0,41.3108,72.925
Stamford,129638,3434.0,41.0799,73.546
Concord,129295,4221.0,37.9722,122.0016
Elizabeth,129216,10459.0,40.6664,74.1935
Athens,126913,1060.0,33.9496,83.3701
Thousand Oaks,126813,2335.0,34.1933,118.8742
Lafayette,126185,2372.0,30.2074,92.0285
Simi Valley,125613,3044.0,34.2669,118.7485
Topeka,125310,2062.0,39.0347,95.6962
Norman,124880,683.0,35.2406,97.3453
Fargo,124662,2450.0,46.8652,96.829
Wilmington,123744,2278.0,34.2092,77.8858
Abilene,123420,1146.0,32.4545,99.7381
Odessa,123334,2608.0,31.8838,102.3411
Columbia,123195,1856.0,38.951561,92.328638
Pearland,122460,2453.0,29.5558,95.3231
Victorville,122385,1668.0,34.5277,117.3536
Hartford,122105,7083.0,41.7659,72.6816
Vallejo,121692,3951.0,38.1079,122.264
Allentown,121442,6882.0,40.5936,75.4784
Berkeley,121363,11547.0,37.867,122.2991
Richardson,121323,3963.0,32.9723,96.7081
Arvada,121272,3043.0,39.8337,105.1503
Ann Arbor,119980,4298.0,42.2761,83.7309
Rochester,118935,2088.0,44.0154,92.4772
Cambridge,118927,17289.0,42.376,71.1187
Sugar Land,118488,3488.0,29.5994,95.6142
Lansing,118210,2967.0,42.7143,84.5593
Evansville,117979,2526.0,37.9877,87.5347
College Station,117911,2199.0,30.5852,96.2964
Fairfield,117133,2806.0,38.2593,122.0321
Clearwater,116946,4415.0,27.9789,82.7666
Beaumont,116825,1441.0,30.0849,94.1453
Independence,116672,1504.0,39.0855,94.3521
Provo,116618,2803.0,40.2453,111.6448
West Jordan,116480,3520.0,40.6024,112.0008
Murrieta,116223,3324.0,33.5721,117.1904
Palm Bay,115552,1676.0,27.9856,80.6626
El Monte,115487,12063.0,34.0746,118.0291
Carlsbad,115382,3023.0,33.1239,117.2828
North Charleston,115382,1483.0,32.9178,80.065
Temecula,114761,3031.0,33.4931,117.1317
Clovis,114584,4404.0,36.8282,119.6849
