City,1st Most Common Res,2nd Most Common Res,3rd Most Common Res,4th Most Common Res,5th Most Common Res,Cluster Labels,2019estimate,2016 population density,lantitude,longitude
Cape Coral,Italian Restaurant,Caribbean Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,0,0.023329647274253473,0.05429606993106389,26.6432,81.9974
Carlsbad,American Restaurant,Japanese Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,0,0.013840054303698881,0.10120105180868452,33.1239,117.2828
Carmel,American Restaurant,Italian Restaurant,Chinese Restaurant,Thai Restaurant,Mexican Restaurant,0,0.012123092062594152,0.06939805273257053,39.9667,86.1
Carrollton,Korean Restaurant,Indian Restaurant,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,4,0.016702777570864275,0.1243337360528747,32.9884,96.8998
Cary,Chinese Restaurant,Italian Restaurant,Sushi Restaurant,Mexican Restaurant,Japanese Restaurant,4,0.02042530140699982,0.09587094023168219,35.7809,78.8133
Cedar Rapids,American Restaurant,Mexican Restaurant,Bar,Vietnamese Restaurant,Seafood Restaurant,0,0.016020742688726403,0.05959064743088622,41.967,91.6778
Centennial,American Restaurant,Italian Restaurant,Mexican Restaurant,Sushi Restaurant,Vietnamese Restaurant,0,0.013306877193058213,0.12621704214341553,39.5906,104.8691
Chandler,Chinese Restaurant,Mexican Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,3,0.03132670418458268,0.1292729727808969,33.2829,111.8549
Charleston,American Restaurant,Seafood Restaurant,Mexican Restaurant,Korean Restaurant,Caribbean Restaurant,0,0.016501021912799573,0.037595053656456545,32.8179,79.959
Charlotte,American Restaurant,Italian Restaurant,Thai Restaurant,Japanese Restaurant,Indian Restaurant,0,0.10624054720164783,0.09174898727880038,35.2078,80.831
Chattanooga,American Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,Seafood Restaurant,0,0.021926713756581197,0.03787932627389667,35.066,85.2484
Chicago,Mexican Restaurant,Chinese Restaurant,American Restaurant,Pizza Place,Vietnamese Restaurant,2,0.3231420337042303,0.4166370549356833,41.8376,87.6818
Chico,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,Breakfast Spot,American Restaurant,1,0.01239094009140419,0.10400824390590577,39.74,121.8356
